timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650007392403,1786,Signup into Demoblaze,200,OK,Thread Group 1-1,text,false,Test failed: text expected not to contain /errorMessage/,281,228,3,3,https://api.demoblaze.com/signup,1786,0,1320
1650007390278,1786,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,281,228,3,3,null,1786,2129,1320
1650007393596,620,Signup into Demoblaze,200,OK,Thread Group 1-2,text,false,Test failed: text expected not to contain /errorMessage/,281,228,3,3,https://api.demoblaze.com/signup,620,0,293
1650007391590,620,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-2,,false,,281,228,3,3,null,620,2007,293
1650007395197,388,Login Into demoblaze,200,OK,Thread Group 1-1,text,true,,272,227,5,5,https://api.demoblaze.com/login,388,0,0
1650007394193,388,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,272,227,5,5,null,388,1008,0
1650007395595,2,Debug Sampler,200,OK,Thread Group 1-1,text,true,,573,0,5,5,null,0,0,0
1650007394932,783,Signup into Demoblaze,200,OK,Thread Group 1-3,text,false,Test failed: text expected not to contain /errorMessage/,281,228,5,5,https://api.demoblaze.com/signup,783,0,281
1650007395221,494,Login Into demoblaze,200,OK,Thread Group 1-2,text,true,,272,227,5,5,https://api.demoblaze.com/login,494,0,0
1650007392921,783,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-3,,false,,281,228,5,5,null,783,2012,281
1650007394217,494,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,272,227,5,5,null,494,1005,0
1650007395716,1,Debug Sampler,200,OK,Thread Group 1-2,text,true,,574,0,5,5,null,0,0,0
1650007395601,422,Add To Cart,400,Bad Request,Thread Group 1-1,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,421,0,0
1650007395717,315,Add To Cart,400,Bad Request,Thread Group 1-2,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,314,0,0
1650007396025,316,Add To Cart,400,Bad Request,Thread Group 1-1,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,316,0,0
1650007396059,320,Add To Cart,400,Bad Request,Thread Group 1-2,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,320,0,0
1650007396342,396,Add To Cart,400,Bad Request,Thread Group 1-1,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,396,0,0
1650007396381,357,Add To Cart,400,Bad Request,Thread Group 1-2,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,357,0,0
1650007396251,654,Signup into Demoblaze,200,OK,Thread Group 1-4,text,false,Test failed: text expected not to contain /errorMessage/,281,228,5,5,https://api.demoblaze.com/signup,654,0,286
1650007394243,654,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-4,,false,,281,228,5,5,null,654,2008,286
1650007396739,392,Get Items in Cart,400,Bad Request,Thread Group 1-1,text,false,,409,206,6,6,https://api.demoblaze.com/viewcart,391,0,0
